сыпаться	0
полагать	0
фильтровать	0
замечать	0
стоить	-2
купаться	0
увезти	0
звать	0
придавать	0
маленькть	0
повергать	0
пропадать	0
баловаться	-2
смотреться	2
распадаться	0
обостряться	0
изобретать	-2
шокировать	-2
ломаться	0
связывать	0
засомневаться	0
выполнять	0
определять	0
формироваться	0
ощущаться	0
поссориться	-2
ворковать	0
нарушать	-2
пробовать	0
сводить	0
обитать	0
играть	2
разделываться	0
пожить	0
подтвердить	0
прикасаться	0
думаться	0
подождать	0
настораживаться	0
стошнить	-2
наплевать	-2
гравировать	0
испортиться	-2
изменяться	0
растворяться	0
нуждаться	0
заботиться	0
возлагать	0
предугадывать	0
провоцировать	0
продолжать	-2
разочаровываться	-2
осуществлять	0
отходить	0
рыдать	2
брать	0
пробирать	0
суметь	2
обезуметь	0
перевоспитывать	0
поверять	0
щипать	0
вмещать	0
хватать	0
образовывать	0
подготовить	0
подтягиваться	0
размахивать	0
прощать	2
бороться	0
верить	2
делать	2
расти	0
перечислять	0
сменяться	0
развлекаться	0
знакомиться	0
обдумывать	0
изобиловать	0
гулять	0
даваться	0
пронести	0
перевариваться	0
питаться	2
сочетаться	0
гаснуть	0
тянуться	0
вырываться	0
наводнять	0
входить	0
набираться	0
забываться	-2
проводить	0
повторять	0
создаваться	0
изготовлять	0
наносить	0
топить	0
обретать	0
наворачиваться	0
носиться	0
воспринимать	2
вваливаться	0
мечатать	0
являть	0
поесть	2
раздаваться	2
дышать	0
сетовать	0
стимулировать	0
спойлерствовать	0
пройти	0
просиживать	0
одобрять	2
восклицать	0
ввязываться	0
держаться	0
обижаться	0
предвидеться	0
осаживать	0
вылечивать	0
ваять	0
сомневаться	0
обнимать	2
раскручивать	2
приукрашивать	0
построить	0
длиться	0
ненавидеть	-2
усиливаться	0
давать	2
повествовать	0
скрываться	0
готовить	0
вставлять	0
ругать	0
рисоваться	0
уверовать	0
угадывать	0
страдать	-2
затекать	0
впадать	0
помогать	2
оказывать	0
передергивать	-2
экранизировать	0
блевать	-2
потрясать	2
последовать	0
просыпаться	0
отличать	0
срабатывать	0
побрать	0
отрывать	0
осыпать	0
недолюбить	-2
разукрашивать	0
сглаживаться	0
избивать	-2
расставлять	0
дубасить	0
пропагандировать	0
развеивать	0
уделять	0
действовать	0
перемешиваться	0
задевать	0
путешествовать	0
сдуть	0
комбинировать	0
выдыхать	0
растапливать	0
плести	0
прижимать	0
сыскиваться	-2
считать	2
собираться	0
слезать	0
гипнотизировать	-2
казаться	0
назад-рыдать	0
запускаться	0
выражать	0
убегать	0
останавливаться	0
получаться	0
выдаваться	0
промелькнуть	0
учиться	2
восполняться	0
перетекать	0
оберегать	0
видеть	0
составлять	0
спаться	0
сдаваться	-2
лежать	0
трогать	2
испоганивать	0
хранить	0
клонить	0
перемещать	0
вставать	0
услышать	2
восхищать	2
раскрывать	2
отправляться	0
говориться	0
искупаться	0
успокаиваться	2
обожать	0
бросать	0
прокатить	0
налагать	0
кричать	2
отчаиваться	-2
отыскивать	0
удаваться	2
прислушиваться	0
исправлять	2
наслаиваться	0
оказываться	0
лепить	0
проплакать	0
таращить	0
снимать	2
осмысливать	0
покладать	0
обделять	0
полнеть	0
потягаться	0
попереживать	0
клясться	0
насыщаться	0
вычислять	0
подбираться	0
сбываться	0
обосновывать	0
пробуждаться	0
накрывать	0
веять	0
кататься	0
гудеть	0
перегибать	0
доносить	0
послужить	0
трясти	0
опустошать	0
чувствовать	2
вериться	0
понимать	2
заскучать	-2
разрываться	0
боготворить	0
обзванивать	0
пыжиться	0
отвертываться	0
кончаться	-2
затолкать	0
строиться	0
ладить	0
находить	2
угадываться	0
выигрывать	2
ухудшаться	-2
читать	0
претендовать	0
допускать	0
рекомендовать	2
затрястись	0
уничтожать	-2
считаться	0
пихать	0
отпускать	2
добавлять	-2
подпевать	0
сулить	0
надеяться	2
забывать	-2
определяться	0
доставлять	0
намекаться	0
напрягаться	2
сопоставляться	0
постанывать	0
заинтриговывать	0
внемлить	2
бросаться	0
хай-течь	0
посвящать	0
утопать	0
подносить	0
судить	0
отвлекаться	0
зарубать	0
захватить	0
запоминаться	-2
приписываться	0
сражаться	0
переходить	0
постыдиться	0
проявляться	0
исчезать	0
восхищаться	2
ограничивать	0
доверяться	0
убеждаться	0
взять	2
отлавливать	0
выкладываться	2
съедаться	0
попахивать	-2
погружаться	0
погулять	0
умалчивать	0
говорить	-2
предпочитать	0
ухватываться	0
радоваться	2
откупоривать	0
досматривать	0
завораживать	-2
затрагиваться	0
настраиваться	0
существовать	-2
охотиться	0
похвастаться	0
пересекать	0
оценивать	2
привыкать	0
осмысливать-переосмысливать	2
доводить	0
бормотать	-2
хотеть	2
омрачаться	-2
засаживаться	0
воспитывать	0
снижать	0
обрываться	0
подчеркиваться	0
поколебать	0
выключать	2
уговаривать	0
везти	0
тратить	0
иметь	-2
наводить	0
пульсировать	0
снести	0
напихивать	2
нарекать	0
трусить	0
мусолить	0
приглашать	0
упорядочивать	0
улучшаться	2
замутить	0
смешиваться	0
обращаться	0
добивать	0
противостоять	0
скрещиваться	0
скопировать	0
плыть	0
париться	0
отставать	0
курить	0
пользоваться	0
сбросить	0
проживать	0
идти	2
шуршать	0
поговорить	0
расходиться	0
атаковать	0
сглаживать	0
висеть	0
подтверждаться	0
перебираться	0
растрачиваться	0
выясняться	0
приниматься	0
прихватывать	0
шокироваться	0
раздувать	0
делиться	0
выпрыгивать	0
ожидать	0
учитывать	0
выделяться	2
угрожать	0
шагать	0
реализовывать	0
выбрасывать	0
растягивать	2
вводить	0
полагаться	0
отважиться	0
промелькивать	0
уснуть	0
пылать	0
взрываться	0
виться	0
пожирать	0
замирать	2
осуществляться	0
стряхивать	0
сострадать	2
нагнетаться	0
пропускать	0
начинаться	2
отвергать	0
замыкаться	0
стучать	0
писаться	0
принимать	0
рухнуть	0
цепляться	-2
скрипнуть	0
заигрываться	0
порассуждать	0
отвергаться	0
подпортить	-2
уважать	0
мыться	0
спариваться	0
ужасать	-2
заражать	-2
усваиваться	0
выбирать	0
изливать	0
закинуть	0
нависать	0
прокатиться	0
получать	2
преодолеть	0
плавать	-2
разбивать	0
оголять	0
сидеть	2
выводить	0
дергать	0
откатить	0
подсказывать	0
встречать	2
молчать	0
меняться	0
посочувствовать	2
вращать	0
оборвать	0
добавляться	0
завершать	0
клеймить	0
обижать	-2
аплодировать	2
терроризировать	-2
устраиваться	0
доводиться	0
подрабатывать	0
обещать	0
громить	2
прочувствовать	2
подуматься	0
плясать	2
посмеяться	0
выделять	0
взбесить	2
сообщаться	0
рассуждать	0
изумлять	0
мотивировать	0
воспользоваться	0
перекликаться	0
экономить	0
отнимать	2
изменять	0
доживать	0
выдумывать	0
петь	2
полюбить	2
съедать	0
совладать	0
обозначать	0
прыгать	2
извинять	-2
потянуть	0
отвлекать	0
бесить	-2
склоняться	0
управлять	0
пропитывать	2
хватить	2
полетать	0
заводить	0
разговаривать	0
недооценивать	-2
заслуживать	2
проходить	2
отводиться	0
разделять	0
сращивать	0
поощрять	0
дохнуть	-2
сломать	0
размышлять	0
забивать	0
усугублять	-2
сказываться	0
волновать	2
пойти	0
сдавливать	0
ложиться	2
привлекать	-2
разочаровывать	0
заставлять	0
передвигаться	0
услеживать	0
жертвовать	2
попадаться	0
вкладывать	0
носить	2
кликать	0
настраивать	0
возражать	0
пронзать	0
отдыхать	2
поучиться	0
планироваться	0
всколыхивать	0
жахнуть	0
